Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined
14.15,3,0.183507295,82.4276,1997,2,1,1,1137.1864,1
19.25,3,0.102349519,52.7956,2007,3,2,1,928.1252,3
8.88,3,0.08670898699999999,151.7682,1987,1,3,1,762.341,1
20.5,1,0.032835147,40.2822,2002,3,2,1,707.0796,2
12.6,3,0.033809913,180.5976,1985,3,3,3,7968.2944,3
13.5,1,0.07266912,160.292,1997,2,1,1,1438.128,2
12.6,1,0.144338493,224.4404,1985,3,3,3,6976.2524,2
8.89,3,0.009163216,101.7016,1998,3,3,2,101.2016,3
7.855,3,0.011307038,188.5188,2009,3,3,4,952.0939999999999,3
7.235,1,0.076855628,116.0492,1997,2,1,1,1969.4364,2
12.6,3,0.059956876,165.4526,1985,3,3,3,5262.4832,3
6.92,3,0.038532062,60.5852,2002,3,2,1,1314.2892,3
9.3,3,0.043209581,90.8172,2007,3,2,1,535.3032,3
18.5,1,0.056816465,132.1284,1998,3,3,2,263.6568,2
8.02,1,0.019866705,154.5972,2004,2,2,1,1402.1748,2
9.195,1,0.048331717,105.1622,2007,3,2,1,1693.7952,2
12.8,1,0.091221855,105.5938,2002,3,2,1,2143.876,2
16.6,1,0.027622076000000002,177.6344,1999,3,1,1,2676.5159999999996,2
14.0,2,0.07048184085069421,53.06399999999999,2004,2,2,1,905.488,3
18.6,3,0.039355947,246.3802,1999,3,1,1,7370.406,3
16.0,3,0.060836524,226.8404,2004,2,2,1,6301.1312,3
17.6,1,0.082316506,160.692,2004,2,2,1,1597.92,2
21.25,3,0.155350299,178.237,2004,2,2,1,529.311,3
7.235,1,0.076841095,117.5492,2004,2,2,1,1969.4364,2
14.6,3,0.151419185,50.3692,2007,3,2,1,1034.6532,1
13.85,2,0.026001976,161.52100000000002,2009,3,3,4,1794.3310000000001,3
13.65,2,0.073209447,197.6426,2009,3,3,4,2768.3964,3
12.6,3,0.041683481,31.29,1985,3,3,3,898.83,1
7.365,3,0.042560252,226.172,1997,2,1,1,3169.208,3
18.35,1,0.014081156000000001,223.5746,2009,3,3,4,3589.9936,2
5.465,2,0.07048184085069421,132.5626,2009,3,3,4,262.3252,3
18.6,3,0.152918384,99.8358,2007,3,2,1,1910.1802,3
13.85,3,0.030969273999999998,140.9154,2007,3,2,1,1701.7848,1
14.0,2,0.06037677599999999,154.5656,1987,1,3,1,2471.4496,3
14.0,2,0.04192285,54.763999999999996,1987,1,3,1,1331.6,3
12.6,3,0.077367431,97.0094,1985,3,3,3,1808.9786,3
5.905,3,0.045838211,222.5456,2009,3,3,4,3315.684,3
7.27,3,0.071077939,114.2518,1997,2,1,1,2618.5914,1
6.155,2,0.09465987099999999,214.55599999999998,1997,2,1,1,2769.728,3
19.5,2,0.077608838,233.4958,2007,3,2,1,5375.0034,1
15.2,3,0.021327477,216.8824,2007,3,2,1,2838.9712,3
12.15,2,0.042485444000000004,125.0046,2009,3,3,4,1743.0644,3
12.6,1,0.025578526,198.8084,1985,3,3,3,5555.4352,2
12.6,3,0.048980800000000005,61.9194,2009,3,3,4,619.194,3
14.5,1,0.019471688,164.821,2004,2,2,1,2120.573,2
16.6,3,0.122918852,173.0738,2007,3,2,1,3823.0236,3
11.8,2,0.057373797000000004,151.4366,1987,1,3,1,1360.2294,3
13.1,2,0.044155597000000005,178.8318,1987,1,3,1,3969.4996,3
17.7,3,0.291865402,115.1834,1998,3,3,2,345.5502,3
17.85,3,0.07048184085069421,196.5794,1998,3,3,2,585.2382,3
12.3,2,0.064750025,92.6804,2002,3,2,1,1010.6844,3
11.8,1,0.098312421,81.4618,1998,3,3,2,161.1236,2
12.6,2,0.191013663,42.1112,1985,2,1,2,42.6112,1
11.1,3,0.176573035,157.4604,2002,3,2,1,3010.7476,3
12.6,2,0.060134441,153.0656,1985,3,3,3,6024.1584,3
11.3,3,0.0072946519999999996,198.1426,2002,3,2,1,988.7130000000001,3
12.6,1,0.128478462,117.944,1985,2,1,2,239.688,2
5.75,2,0.075107656,112.8176,1987,1,3,1,1374.2112,3
12.6,2,0.049381405999999996,226.8062,1985,3,3,3,4739.8302,3
11.35,2,0.045165795999999994,100.0016,2009,3,3,4,1012.0160000000001,3
12.6,2,0.09415375,165.7526,1985,2,1,2,657.8104,3
14.0,1,0.028907832,130.431,1999,3,1,1,778.9860000000001,2
19.75,2,0.018059621,179.766,2002,3,2,1,2336.958,3
6.525,1,0.09043609400000001,85.0882,1999,3,1,1,2233.0932,2
10.3,3,0.146399712,103.9648,1999,3,1,1,1661.8368,3
5.78,2,0.07426435599999999,264.7568,1999,3,1,1,4745.8224,3
11.85,2,0.050186725999999994,164.1526,2002,3,2,1,3124.5994,3
16.35,3,0.020631654,50.1324,2009,3,3,4,467.3916,3
12.6,1,0.01561108,182.5976,1985,3,3,3,5070.7328,2
10.5,3,0.041395445,37.6164,1997,2,1,1,540.6296,3
19.0,2,0.097313129,48.0718,1997,2,1,1,992.7078,3
14.6,1,0.059582996,238.8538,1999,3,1,1,6008.845,2
12.6,2,0.09866365199999999,62.9194,1985,3,3,3,2105.2596,3
12.6,2,0.101338651,232.63,1985,3,3,3,5359.69,3
18.75,1,0.052146455999999994,104.62799999999999,2002,3,2,1,745.696,2
5.26,2,0.041764487,161.8868,2004,2,2,1,3275.736,3
18.25,3,0.054344185999999996,140.2154,2002,3,2,1,1701.7848,3
12.6,3,0.07836248400000001,177.937,1985,3,3,3,6704.606,3
15.1,3,0.052339069,242.7512,1997,2,1,1,4119.9704,3
15.5,2,0.042464962,81.5934,1998,3,3,2,327.5736,3
13.65,3,0.06573288299999999,45.7402,1999,3,1,1,780.9834,3
16.1,3,0.023625114,189.3846,2002,3,2,1,3630.6074,1
12.6,2,0.051643608,107.3622,1985,2,1,2,317.5866,3
12.85,3,0.165694219,39.7164,1998,3,3,2,231.6984,3
9.5,3,0.041878397000000005,32.99,2004,2,2,1,133.16,1
13.8,3,0.058091482,245.1802,2004,2,2,1,5650.6446,1
5.78,2,0.07048184085069421,263.7568,2007,3,2,1,2636.5679999999998,3
19.7,1,0.026903714,96.0726,2002,3,2,1,1272.3438,2
14.65,1,0.07048184085069421,161.5552,1998,3,3,2,324.9104,2
6.67,2,0.150554711,130.0626,1998,3,3,2,131.1626,3
6.11,2,0.07048184085069421,131.2968,1998,3,3,2,260.9936,3
13.65,2,0.13497562800000001,260.0936,1998,3,3,2,260.9936,3
17.2,3,0.15616879,160.6578,1987,1,3,1,3690.5294,3
6.32,3,0.07048184085069421,40.2822,2004,2,2,1,1139.1838,3
4.88,2,0.133700752,52.9298,1999,3,1,1,1995.4026,3
5.425,2,0.115119905,88.3514,2007,3,2,1,1416.8224,3
15.85,2,0.11003099699999999,37.2506,1997,2,1,1,265.6542,3
7.5,3,0.051038045,121.7072,2007,3,2,1,3552.7088,3
12.65,3,0.062837968,161.5578,1987,1,3,1,2406.867,1
12.6,1,0.017116983,211.956,1985,2,1,2,213.05599999999998,2
20.75,3,0.024129332000000003,124.17299999999999,1987,1,3,1,2956.152,3
12.6,3,0.049754975,152.134,1985,2,1,2,153.134,1
9.0,3,0.07048184085069421,79.7644,2004,2,2,1,1649.8524,3
12.6,3,0.101561568,181.9292,1985,3,3,3,3101.2964,3
12.6,1,0.0059496440000000005,165.6526,1985,3,3,3,4769.1254,2
12.6,2,0.13956116,170.4764,1985,3,3,3,3435.528,3
14.1,3,0.126035694,86.4198,2002,3,2,1,1133.8574,3
7.55,3,0.027164679,152.334,2004,2,2,1,2603.278,3
13.0,1,0.099325278,45.406000000000006,1997,2,1,1,605.878,2
12.6,3,0.04357366,192.8846,1985,3,3,3,2293.0152,1
12.6,2,0.082741482,118.7782,1985,2,1,2,119.1782,3
12.3,2,0.064565202,92.9804,1987,1,3,1,1929.4884,3
12.6,3,0.08455456900000001,109.8912,1985,3,3,3,2074.6328,3
12.6,1,0.058451805,79.9618,1985,3,3,3,241.6854,2
17.25,1,0.113748685,251.3724,2002,3,2,1,6795.1548,2
15.85,1,0.020603511,42.7112,2007,3,2,1,639.168,2
18.85,1,0.052044976,192.1846,2004,2,2,1,3248.4382,2
16.35,2,0.06276442900000001,227.6062,2007,3,2,1,7222.5984,3
14.1,3,0.08797726199999999,229.0668,2004,2,2,1,3225.1352,1
7.905,3,0.010010425,249.0408,2004,2,2,1,3755.112,3
12.0,3,0.033946163,179.3976,1987,1,3,1,3440.8544,3
12.15,2,0.058414678,163.4552,2004,2,2,1,974.7312,3
10.1,3,0.027106459,75.367,1999,3,1,1,535.969,3
17.5,3,0.027022882999999998,262.491,2007,3,2,1,5259.82,3
12.6,3,0.058153409,152.034,1985,2,1,2,306.268,1
17.1,3,0.128937661,112.3886,2009,3,3,4,1779.0176,3
7.785,3,0.088846306,61.451,1999,3,1,1,759.012,3
11.8,2,0.09357779,125.9704,1987,1,3,1,1877.556,3
13.15,2,0.165694678,171.8764,2002,3,2,1,3779.0808,3
12.6,3,0.148392623,41.5796,1985,2,1,2,41.2796,3
8.5,3,0.098438394,51.1324,2007,3,2,1,259.66200000000003,3
8.645,1,0.143303291,96.34100000000001,1987,1,3,1,193.082,2
17.6,2,0.076276208,110.9202,2002,3,2,1,1687.8029999999999,3
9.1,3,0.175103435,127.5362,2007,3,2,1,4655.9394,3
12.8,2,0.023511371,225.9404,1987,1,3,1,4950.8888,3
7.63,3,0.06105276,95.4436,2004,2,2,1,1418.154,1
9.285,2,0.049559042000000005,246.4144,2007,3,2,1,1225.072,3
13.6,2,0.119418124,231.03,2002,3,2,1,5359.69,3
8.895,3,0.072545601,176.237,2002,3,2,1,1764.37,3
16.35,1,0.090486828,195.21099999999998,1987,1,3,1,2553.343,2
17.6,3,0.056245075,43.3454,1987,1,3,1,1006.6896,3
7.975,3,0.014618973,85.225,1987,1,3,1,1081.925,3
15.85,3,0.04347912599999999,36.7164,2007,3,2,1,308.9312,3
15.7,3,0.045166237000000005,178.666,1987,1,3,1,2516.724,3
8.985,2,0.057827101,128.83100000000002,1997,2,1,1,1428.141,3
20.35,3,0.089394766,260.1594,1987,1,3,1,2093.2752,3
6.59,3,0.10550944,85.6908,1987,1,3,1,1929.4884,3
19.85,3,0.005234153,264.0884,2004,2,2,1,5829.7448,3
16.85,3,0.036390174,91.4488,1997,2,1,1,2082.6224,3
12.6,3,0.03292824,173.1738,1985,3,3,3,7298.4996,3
16.75,3,0.081252534,256.4988,1987,1,3,1,7452.9652,3
17.6,2,0.076552407,110.5202,2007,3,2,1,450.0808,3
7.905,3,0.016758568999999997,250.4408,1998,3,3,2,500.6816,3
12.6,3,0.044248175,126.20200000000001,1985,3,3,3,3668.558,3
7.785,2,0.038288087,103.1964,2009,3,3,4,736.3748,3
7.825,1,0.186032678,253.0698,2004,2,2,1,6088.0752,2
12.6,1,0.031867464,101.0016,1985,3,3,3,2125.2336,2
20.75,3,0.021370201000000002,153.0024,2007,3,2,1,2277.036,1
12.6,3,0.193772568,190.3846,1985,2,1,2,573.2538,3
6.26,2,0.009866049,151.1366,2004,2,2,1,2267.049,3
18.2,3,0.082551042,147.3734,1998,3,3,2,296.9468,3
13.0,1,0.099729888,46.306000000000004,2009,3,3,4,559.2719999999999,2
20.25,2,0.018801549,222.1772,2004,2,2,1,5559.43,3
8.695,1,0.11972145099999999,95.5094,1999,3,1,1,1237.7222,2
7.27,3,0.071222087,113.5518,2002,3,2,1,569.259,1
12.6,2,0.060371962,174.0712,1985,3,3,3,3866.9664,3
12.85,3,0.033287541000000004,198.4768,2002,3,2,1,1379.5376,3
7.075,3,0.05858462,142.7128,2009,3,3,4,1869.5664,3
12.6,2,0.11679292,196.21099999999998,1985,3,3,3,5499.508000000001,3
8.195,3,0.031452265,94.3462,1999,3,1,1,925.462,3
7.09,3,0.00721395,47.9034,2004,2,2,1,583.2408,3
6.095,1,0.081196619,141.4154,1997,2,1,1,1418.154,2
19.35,2,0.049916364000000005,80.2644,2007,3,2,1,942.7728,3
6.15,3,0.04627095,99.3384,1997,2,1,1,2364.9216,3
12.6,2,0.02747716,87.9856,1985,3,3,3,3251.7672,3
12.6,2,0.10470453699999999,125.2678,1985,2,1,2,254.3356,3
17.7,1,0.012540003000000001,167.0474,2004,2,2,1,5895.659000000001,2
17.85,3,0.147023834,93.7436,2009,3,3,4,1134.5232,3
9.395,3,0.15965759599999998,224.972,2002,3,2,1,7696.648,1
15.75,3,0.141398626,250.5382,2007,3,2,1,2775.7202,1
7.475,3,0.148821808,241.2854,2002,3,2,1,5317.0788,3
7.075,3,0.07048184085069421,98.0068,2009,3,3,4,874.8612,3
6.445,3,0.029691762000000003,92.6436,1997,2,1,1,1039.9796,3
19.1,3,0.09671552300000001,235.0958,2004,2,2,1,3038.0454,3
20.25,2,0.014790558999999998,193.6162,2004,2,2,1,3848.324,3
15.0,2,0.054378253,59.1904,1997,2,1,1,527.3136,3
6.67,2,0.123428594,89.1514,1997,2,1,1,2390.8878,3
12.6,2,0.029943462999999997,60.222,1985,3,3,3,1677.816,3
16.7,2,0.052368060999999994,112.7176,1987,1,3,1,801.6232,3
7.07,3,0.09386114400000001,115.5834,2002,3,2,1,1267.0174,3
6.48,3,0.033968647000000005,148.0076,2002,3,2,1,886.8456,3
19.0,2,0.173154079,228.27200000000002,1998,3,3,2,452.744,3
13.35,3,0.139735226,147.5392,2002,3,2,1,3877.6192,3
12.6,3,0.043351895999999994,146.6418,1985,3,3,3,4414.254,3
12.6,3,0.042086652,122.4388,1985,3,3,3,5448.9072,1
9.695,2,0.12848269,223.9404,1999,3,1,1,4950.8888,3
15.0,3,0.049357077,62.6168,2007,3,2,1,958.752,1
11.15,2,0.008326735,149.9708,2007,3,2,1,1956.1204,3
20.85,3,0.021362955,103.2306,1999,3,1,1,2404.2038,3
9.8,1,0.151420934,194.3478,1998,3,3,2,387.4956,2
16.35,3,0.032511818,165.0842,1987,1,3,1,994.7052,3
9.6,2,0.022323658,101.29899999999999,2002,3,2,1,1754.3829999999998,3
12.6,1,0.019292355,129.9994,1985,3,3,3,3340.9844,2
13.35,3,0.048124442999999996,216.7166,2002,3,2,1,3918.8988,3
20.7,3,0.09261307,76.367,1987,1,3,1,306.268,1
12.6,3,0.094697274,158.4604,1985,3,3,3,4278.4308,3
16.2,3,0.035984103999999996,260.6278,2002,3,2,1,4425.5726,3
12.6,2,0.056596985,230.9984,1985,3,3,3,9267.936,3
12.6,3,0.2047,76.867,1985,2,1,2,229.701,3
12.6,2,0.020618324,129.3994,1985,3,3,3,2055.9904,3
5.5,1,0.04709821,101.3016,1997,2,1,1,3339.6528,2
15.1,2,0.087584126,221.7456,2002,3,2,1,6410.3224,3
15.7,2,0.038078899,122.9046,2007,3,2,1,1992.0736,3
7.895,2,0.095102092,104.4332,2007,3,2,1,2870.9296,3
12.6,2,0.011953901999999999,164.5184,1985,3,3,3,2807.0128,3
17.35,2,0.062799379,88.18299999999999,1987,1,3,1,539.298,3
7.285,1,0.031125708999999998,174.3054,1987,1,3,1,4377.635,2
20.25,1,0.026005891,180.9976,2002,3,2,1,2716.4640000000004,2
12.6,3,0.09246392,190.9504,1985,2,1,2,383.5008,3
15.85,3,0.107765165,59.5904,1999,3,1,1,703.0848,1
6.17,3,0.010647476999999999,66.3826,1999,3,1,1,1937.4779999999998,3
19.5,1,0.015749341,182.2608,1999,3,1,1,3307.6944,2
19.2,1,0.077628053,197.611,1999,3,1,1,3142.5759999999996,2
16.7,3,0.07048184085069421,181.2292,2009,3,3,4,2554.0088,3
20.85,2,0.056695731,104.0648,2009,3,3,4,1869.5664,3
14.5,2,0.063993068,260.4594,2002,3,2,1,5494.8474,3
11.395,2,0.06952926200000001,233.1616,1987,1,3,1,6093.4016,3
7.97,3,0.034452949,174.0422,1997,2,1,1,2586.633,1
7.71,2,0.06670068,55.2956,1999,3,1,1,1255.6988,3
19.25,2,0.034699737,141.7496,1997,2,1,1,4093.3384,3
7.075,3,0.058346939,142.2128,1997,2,1,1,3163.8816,3
12.6,2,0.065203103,166.0816,1985,3,3,3,5033.448,3
11.6,2,0.07892957099999999,79.9276,1997,2,1,1,1137.1864,3
12.6,3,0.18251488100000002,98.77,1985,3,3,3,2696.49,3
12.1,3,0.016895293000000002,178.56599999999997,2009,3,3,4,898.83,1
10.0,1,0.073379745,118.244,1997,2,1,1,2756.4120000000003,2
14.35,3,0.08075758,81.896,2002,3,2,1,878.8560000000001,3
10.395,3,0.11227149800000001,58.222,1999,3,1,1,659.1419999999999,3
12.6,3,0.153741385,182.6292,1985,2,1,2,182.4292,3
8.1,3,0.127929521,211.4902,1987,1,3,1,3610.6334,3
8.05,2,0.07838564,256.4646,2004,2,2,1,5153.292,3
9.195,2,0.078502143,108.7596,2007,3,2,1,2588.6304,3
20.7,2,0.047684831,212.5876,2009,3,3,4,1286.3256,3
15.7,2,0.12315965599999999,110.1544,2007,3,2,1,1230.3984,3
12.6,2,0.07048184085069421,60.2194,1985,3,3,3,1733.7432,3
12.6,1,0.053392944000000005,193.8162,1985,2,1,2,384.8324,2
16.5,1,0.036715907,180.0318,2002,3,2,1,3969.4996,2
9.0,3,0.065236932,176.437,2004,2,2,1,7763.228,3
6.785,2,0.041947547,41.2112,1987,1,3,1,809.6128,3
19.5,3,0.08288849599999999,178.6002,2009,3,3,4,1253.7014,3
7.575,3,0.055390120999999994,195.2768,1997,2,1,1,5715.2272,3
18.2,2,0.012194556,57.7904,1987,1,3,1,1464.76,3
16.75,3,0.060495243,169.8106,1987,1,3,1,3251.1014,3
7.47,2,0.07048184085069421,214.3218,2004,2,2,1,4274.436,3
12.6,2,0.014753811,231.7958,1985,3,3,3,5375.0034,3
12.6,3,0.160707489,38.019,1985,3,3,3,1318.2839999999999,3
13.85,2,0.085622362,119.4124,2009,3,3,4,2251.7356,3
6.635,2,0.046350909,37.4506,2007,3,2,1,1176.4686,3
6.11,2,0.102920886,130.4968,1997,2,1,1,3523.4136,3
15.25,3,0.026604781,86.2198,2004,2,2,1,610.5386,3
15.85,3,0.07048184085069421,96.4094,2004,2,2,1,1237.7222,3
15.2,3,0.031860325,235.1248,1998,3,3,2,474.0496,3
12.6,2,0.07048184085069421,52.6666,1985,3,3,3,717.7324,3
20.75,3,0.021250002,150.5024,1997,2,1,1,2580.6408,1
10.195,3,0.159936948,143.2154,1997,2,1,1,2552.6772,3
7.605,3,0.12950314599999999,164.021,2002,3,2,1,3914.9040000000005,3
18.0,2,0.142688846,88.5514,1997,2,1,1,796.9626,3
12.6,3,0.179484411,228.9352,1985,2,1,2,916.1408,3
18.35,1,0.08916305599999999,191.3504,2002,3,2,1,3259.7568,2
6.59,3,0.105761491,84.8908,1999,3,1,1,1677.816,3
13.8,2,0.056960814000000005,230.0984,1999,3,1,1,3707.1744,3
21.2,2,0.00704098,173.5738,1997,2,1,1,2954.1546,3
