Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Item_Visibility_MeanRatio,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
DRH37,17.6,0.041700756,Soft Drinks,164.8526,OUT045,2002,2302.3364,11,0.8765027640696678,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,1997,2027.361,16,1.0277767942566969,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
FDJ58,15.6,0.10529607199999999,Snack Foods,170.1764,OUT046,1997,3435.528,16,0.8747287875118142,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,0.121531501,Baking Goods,59.222,OUT013,1987,599.22,26,0.8740008619873568,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0.0,Starchy Foods,164.7526,OUT045,2002,4604.6728,11,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0.011324862,Canned,189.6188,OUT017,2007,2285.0256,6,0.9275067286121007,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186357148,Household,254.3698,OUT049,1999,5580.7356,14,1.029857103248895,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
FDC29,8.39,0.024205661,Frozen Foods,114.0176,OUT046,1997,2290.3520000000003,16,0.9990697616442725,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0.033230816,Snack Foods,172.3422,OUT049,1999,1207.0954,14,0.9237238339071363,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDN48,13.349999999999998,0.113720344,Baking Goods,89.9804,OUT019,1985,643.1628,28,1.5315372016230429,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,0.11255650699999999,Frozen Foods,104.9622,OUT017,2007,1587.933,6,0.9275067671896534,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.0,Canned,222.5456,OUT045,2002,5305.0944,11,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0.05935224099999999,Snack Foods,101.87,OUT046,1997,1697.79,16,0.8747287866525946,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,0.014087057,Frozen Foods,180.3344,OUT046,1997,1427.4752,16,1.1416114694007558,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0.045230944,Snack Foods,187.9556,OUT018,2009,4693.89,4,0.9260469457443702,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCL18,18.849999999999998,0.293417759,Household,194.6136,OUT019,1985,583.2408,28,1.6148105893820424,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
FDR12,12.599999999999998,0.031382044,Baking Goods,171.3764,OUT027,1985,3091.9752,28,0.8704928746102873,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDG20,15.5,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,2479.4392,6,0.9348909885210056,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,2004,2716.4640000000004,9,0.9988808402357965,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDQ49,20.2,0.039057677,Breakfast,155.963,OUT027,1985,3285.723,28,0.9541219242227013,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDN33,6.305,0.123115764,Snack Foods,95.6436,OUT046,1997,661.8052,16,0.9990697475981462,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,0.039624006,Meat,117.2808,OUT049,1999,1523.3504,14,1.163307491313076,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,1998,369.519,15,1.7352530512933784,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DRG27,8.895,0.10527411099999999,Dairy,39.9138,OUT049,1999,690.4346,14,1.029670894287246,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,0.033970195,Soft Drinks,55.1614,OUT045,2002,1381.535,11,0.9315179184271948,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,622.523,9,0.9294568248579793,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,0.024378706,Health and Hygiene,114.5492,OUT035,2004,1274.3412,9,0.9988808191929445,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDU04,7.93,0.009714595,Frozen Foods,120.0414,OUT019,1985,487.3656,28,2.03215612351227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,0.131383762,Frozen Foods,246.046,OUT049,1999,1231.73,14,0.8760887632599259,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,3755.112,9,1.1406381675043848,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
NCP18,12.150000000000002,0.028459761,Household,149.9708,OUT027,1985,4363.6532,28,0.9178236759482314,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
FDB56,8.75,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,1997,1314.2892,16,1.1408538876304597,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,0.063695084,Frozen Foods,151.0708,OUT045,2002,1805.6496,11,0.9241603474535889,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDD10,20.599999999999998,0.045797829000000005,Snack Foods,178.5344,OUT027,1985,2854.9504,28,1.031674956283392,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDW57,8.31,0.11585722300000001,Snack Foods,179.1028,OUT049,1999,3896.2616,14,1.1434172322184795,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,0.024832806000000002,Soft Drinks,38.7822,OUT013,1987,667.7974,26,1.0358550701475788,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,0.034027909,Snack Foods,212.0902,OUT018,2009,3185.853,4,0.878292065399008,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,0.046769599999999995,Canned,141.1838,OUT013,1987,2247.7408,26,0.8740008565954392,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,0.11657670199999999,Baking Goods,163.121,OUT013,1987,1794.3310000000001,26,1.0269770126654036,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,0.0,Baking Goods,121.3098,OUT045,2002,2530.7058,11,0.0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
DRE60,9.394999999999998,0.278974075,Soft Drinks,225.372,OUT019,1985,679.1160000000001,28,1.6148105888188795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,0.035913805,Soft Drinks,41.4138,OUT013,1987,812.2760000000001,26,1.0320655400408245,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0.079806266,Dairy,232.53,OUT046,1997,699.09,16,0.9990697472460142,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0.005505481,Frozen Foods,102.4016,OUT017,2007,2732.4432,6,0.8796765744587313,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDW39,6.6899999999999995,0.064625342,Meat,176.937,OUT019,1985,176.437,28,2.2590030521565168,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDX34,6.195,0.071636937,Snack Foods,121.7098,OUT027,1985,4097.3332,28,0.9942317071612333,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDV11,9.1,0.0,Breads,173.2054,OUT045,2002,3151.8972,11,0.0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0.032677677999999995,Frozen Foods,239.0906,OUT049,1999,5942.265,14,0.9600513321983414,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,0.160760054,Frozen Foods,192.4478,OUT017,2007,4843.695,6,0.9643770890741937,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0.06911065,Snack Foods,109.0228,OUT035,2004,2542.0244,9,0.9988808423019978,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0.041177505,Soft Drinks,140.3154,OUT017,2007,2552.6772,6,1.178594921346777,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0.040081193,Snack Foods,227.0694,OUT018,2009,1141.847,4,0.8782920723575603,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0.035307322,Household,47.5034,OUT017,2007,680.4476,6,0.8796766231887589,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.063017847,Soft Drinks,159.0578,OUT045,2002,2085.9514,11,0.9315179229166382,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,0.171938781,Canned,92.512,OUT010,1998,186.424,15,1.7289048798428783,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FDJ38,8.6,0.040197932,Canned,190.153,OUT035,2004,3036.048,9,1.0268322866030557,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,0.049058014000000004,Breads,62.7194,OUT017,2007,866.8716,6,0.9348909916042781,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.01161096,Frozen Foods,95.041,OUT035,2004,868.8689999999999,9,1.1524417273242413,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0.183507295,Soft Drinks,82.4276,OUT046,1997,1137.1864,16,0.9990697492376226,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.102349519,Dairy,52.7956,OUT017,2007,928.1252,6,0.8796766148142436,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0.08670898699999999,Hard Drinks,151.7682,OUT013,1987,762.341,26,1.0363413496738674,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,0.032835147,Household,40.2822,OUT045,2002,707.0796,11,1.0010958955480702,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
FDY25,12.0,0.033809913,Canned,180.5976,OUT027,1985,7968.2944,28,1.1363659495637664,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
NCH54,13.5,0.07266912,Household,160.292,OUT046,1997,1438.128,16,0.862651744964282,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
NCR53,12.150000000000002,0.144338493,Health and Hygiene,224.4404,OUT027,1985,6976.2524,28,0.954309088738357,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
FDS52,8.89,0.009163216,Frozen Foods,101.7016,OUT010,1998,101.2016,15,1.464116661542459,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FDG02,7.855,0.011307038,Canned,188.5188,OUT018,2009,952.0939999999999,4,0.926046942176665,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.076855628,Household,116.0492,OUT046,1997,1969.4364,16,0.9296326048503732,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
FDH35,18.25,0.059956876,Starchy Foods,165.4526,OUT027,1985,5262.4832,28,1.0319385007878608,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDB51,6.92,0.038532062,Dairy,60.5852,OUT045,2002,1314.2892,11,1.001095885421211,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,535.3032,6,0.9275067689403469,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,0.056816465,Others,132.1284,OUT010,1998,263.6568,15,1.4641166640747971,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NCC31,8.02,0.019866705,Household,154.5972,OUT035,2004,1402.1748,9,0.9583206892729483,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
NCX54,9.195,0.048331717,Household,105.1622,OUT017,2007,1693.7952,6,0.9348909809950855,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
NCO55,12.8,0.091221855,Others,105.5938,OUT045,2002,2143.876,11,0.8765027636722214,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
NCC30,16.6,0.027622076000000002,Household,177.6344,OUT049,1999,2676.5159999999996,14,0.9310779320436928,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
FDI16,14.0,0.0,Frozen Foods,53.06399999999999,OUT035,2004,905.488,9,0.0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDP16,18.6,0.039355947,Frozen Foods,246.3802,OUT049,1999,7370.406,14,0.9310779430846443,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
