department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted,sum_metric,total_score
7,2,1,1,29,3.0,2,0,0,51,0,3.0,51
7,3,1,1,46,3.0,11,1,0,51,0,4.0,51
8,2,1,1,31,5.0,4,1,0,80,0,6.0,80
5,2,1,1,28,1.0,4,0,0,72,0,1.0,72
7,3,1,1,31,4.0,6,0,0,50,0,4.0,50
2,3,0,1,37,3.0,9,0,0,48,0,3.0,48
8,2,0,2,34,5.0,8,0,0,88,1,5.0,176
5,2,1,1,25,5.0,3,1,0,70,1,6.0,70
4,3,1,1,40,4.0,4,1,0,57,0,5.0,57
4,3,1,1,43,3.0,7,1,0,56,1,4.0,56
4,2,1,1,36,1.0,5,0,0,56,0,1.0,56
3,2,1,1,29,3.0,3,0,0,63,0,3.0,63
1,2,1,2,35,3.0,2,0,0,56,0,3.0,112
0,3,1,1,34,5.0,2,0,0,84,0,5.0,84
7,2,0,1,32,4.0,4,1,0,45,0,5.0,45
2,2,1,1,27,3.0,1,1,0,50,0,4.0,50
8,2,1,1,29,3.0,5,0,0,75,0,3.0,75
7,2,1,1,34,1.0,4,0,0,48,0,1.0,48
5,3,1,1,37,5.0,7,1,0,70,0,6.0,70
5,2,0,1,33,3.0,3,1,0,73,0,4.0,73
5,3,0,1,33,5.0,4,1,0,67,0,6.0,67
7,2,0,1,39,1.0,8,0,0,45,0,1.0,45
8,3,1,1,34,4.0,7,0,0,82,0,4.0,82
8,2,1,2,32,4.0,6,0,0,84,0,4.0,168
7,3,1,1,34,4.0,6,0,0,53,0,4.0,53
1,2,1,1,29,5.0,6,1,0,61,0,6.0,61
7,2,1,2,28,1.0,2,0,0,50,0,1.0,100
8,2,0,1,28,2.0,5,0,0,75,0,2.0,75
5,3,0,2,35,3.0,9,0,0,70,0,3.0,140
8,2,0,2,40,3.0,3,0,0,86,0,3.0,172
7,2,0,2,27,2.0,4,0,0,54,0,2.0,108
5,2,0,3,26,3.0,3,1,0,70,0,4.0,210
4,2,1,1,43,2.0,12,0,0,57,0,2.0,57
1,2,1,1,23,3.0,1,0,0,61,0,3.0,61
0,2,1,1,29,5.0,6,1,0,84,0,6.0,84
7,2,1,1,43,3.0,15,0,0,51,0,3.0,51
7,2,1,3,27,4.0,4,0,0,49,0,4.0,147
5,2,1,1,26,4.0,4,1,0,70,0,5.0,70
5,2,0,1,31,5.0,5,1,0,72,0,6.0,72
4,2,1,1,40,4.0,11,0,0,58,0,4.0,58
4,2,0,2,39,5.0,12,1,0,55,0,6.0,110
4,2,0,2,30,3.0,6,0,0,57,0,3.0,114
8,3,1,1,47,4.0,4,1,0,77,0,5.0,77
7,2,1,1,34,4.0,7,1,0,48,1,5.0,48
4,2,0,1,33,4.0,9,0,0,64,0,4.0,64
7,3,1,1,41,5.0,7,0,0,51,0,5.0,51
8,2,1,1,29,1.0,4,0,0,80,0,1.0,80
0,2,0,1,32,3.0,4,0,0,86,0,3.0,86
5,3,0,1,47,5.0,9,0,0,68,0,5.0,68
4,2,1,1,35,4.0,3,0,0,65,0,4.0,65
8,2,1,1,27,4.0,2,0,0,75,0,4.0,75
0,2,1,1,29,1.0,3,0,0,81,0,1.0,81
7,2,1,2,36,3.0,9,0,0,49,0,3.0,98
7,2,1,2,35,1.0,8,0,0,39,0,1.0,78
5,2,0,2,34,3.0,2,0,0,70,0,3.0,140
7,3,0,1,34,4.0,5,1,1,94,1,6.0,94
4,3,1,1,39,3.0,2,1,0,60,0,4.0,60
7,2,1,1,26,5.0,2,1,0,51,0,6.0,51
4,2,0,1,30,5.0,4,0,0,56,0,5.0,56
4,2,0,1,31,4.0,2,0,0,62,0,4.0,62
2,3,1,1,44,5.0,6,0,0,48,0,5.0,48
7,2,1,1,38,3.0,4,1,0,49,0,4.0,49
8,2,1,1,40,1.0,3,0,0,78,0,1.0,78
3,3,1,1,50,5.0,6,0,1,58,0,6.0,58
5,3,1,1,44,3.0,12,0,0,70,0,3.0,70
5,1,0,1,23,1.0,2,0,0,69,0,1.0,69
7,3,0,1,36,1.0,2,0,0,53,0,1.0,53
0,2,1,1,25,1.0,4,0,0,80,0,1.0,80
4,2,1,1,34,5.0,4,1,0,58,0,6.0,58
0,2,1,1,28,3.0,1,0,0,85,0,3.0,85
0,2,1,2,30,5.0,6,1,0,81,0,6.0,162
5,2,1,1,35,1.0,8,0,0,67,0,1.0,67
0,2,1,1,33,4.0,8,0,0,86,0,4.0,86
0,3,1,1,30,3.0,4,1,0,80,0,4.0,80
0,2,1,2,27,5.0,3,1,0,85,0,6.0,170
5,2,1,4,29,3.0,1,0,0,68,0,3.0,272
4,2,1,1,43,3.0,3,0,0,58,0,3.0,58
0,2,1,2,28,3.0,5,1,0,86,0,4.0,172
5,2,1,1,31,5.0,3,1,0,68,0,6.0,68
4,2,0,1,43,4.0,12,0,0,58,0,4.0,58
4,2,0,1,35,5.0,9,1,0,60,0,6.0,60
7,2,1,2,35,3.0,9,0,0,49,0,3.0,98
4,3,1,1,50,3.0,8,1,0,59,0,4.0,59
2,2,0,1,26,4.0,3,0,0,50,0,4.0,50
7,2,1,1,32,3.0,5,1,0,52,0,4.0,52
4,3,0,1,38,5.0,2,1,1,93,1,7.0,93
7,2,1,1,22,4.0,2,0,0,51,0,4.0,51
2,2,1,1,28,3.0,1,1,0,52,0,4.0,52
5,2,0,1,37,3.0,9,0,0,69,0,3.0,69
0,2,1,2,54,3.0,9,1,0,86,0,4.0,172
7,2,1,1,36,3.0,8,0,0,51,0,3.0,51
8,2,1,1,35,3.0,8,0,0,78,0,3.0,78
0,2,1,1,39,3.0,4,1,0,85,0,4.0,85
4,2,0,1,31,5.0,4,1,0,63,0,6.0,63
4,2,1,2,38,3.0,7,1,1,60,0,5.0,120
7,2,1,1,28,1.0,2,0,0,48,0,1.0,48
7,2,1,3,26,2.0,3,0,0,52,0,2.0,156
7,2,1,1,29,3.0,1,0,0,54,0,3.0,54
0,2,1,1,30,3.0,4,0,0,84,0,3.0,84
4,2,1,2,37,2.0,4,1,0,57,1,3.0,114
6,2,1,1,25,3.0,1,1,0,76,0,4.0,76
8,2,1,1,26,4.0,2,0,0,82,0,4.0,82
8,2,1,1,31,4.0,4,0,0,78,0,4.0,78
8,2,0,1,38,5.0,7,1,0,82,0,6.0,82
7,2,1,1,39,4.0,9,0,0,49,0,4.0,49
7,2,1,1,30,5.0,4,0,1,50,0,6.0,50
5,3,0,1,34,5.0,8,1,0,67,0,6.0,67
5,3,0,1,33,3.0,5,1,0,72,0,4.0,72
8,2,0,1,29,5.0,3,1,0,78,0,6.0,78
4,2,1,1,28,4.0,2,1,0,61,0,5.0,61
1,2,1,1,24,3.0,1,0,0,56,0,3.0,56
0,2,1,2,26,4.0,2,1,0,87,0,5.0,174
3,2,1,1,34,5.0,4,0,0,64,0,5.0,64
7,2,1,1,35,3.0,7,0,0,46,0,3.0,46
8,3,1,1,43,3.0,14,0,0,79,0,3.0,79
7,2,1,1,34,1.0,8,0,0,39,0,1.0,39
8,3,0,2,38,3.0,10,0,0,88,0,3.0,176
4,2,0,1,34,1.0,5,0,0,54,0,1.0,54
4,2,1,1,41,4.0,4,0,0,63,0,4.0,63
1,2,1,2,29,1.0,4,0,0,61,0,1.0,122
4,2,1,1,33,4.0,3,0,0,61,0,4.0,61
7,3,0,1,41,4.0,5,1,0,48,0,5.0,48
4,3,1,3,38,3.0,11,0,0,57,0,3.0,171
5,3,0,2,54,4.0,23,0,0,66,0,4.0,132
7,3,0,2,34,2.0,8,0,0,49,0,2.0,98
6,2,1,2,26,5.0,3,1,0,87,0,6.0,174
4,2,0,1,35,5.0,3,0,0,59,0,5.0,59
3,1,1,1,28,3.0,1,0,0,62,0,3.0,62
4,3,1,1,36,3.0,4,0,0,60,0,3.0,60
8,2,1,1,45,3.0,15,0,0,87,0,3.0,87
5,3,1,1,38,4.0,7,0,0,66,0,4.0,66
7,2,0,1,26,2.0,4,0,0,47,0,2.0,47
0,2,1,1,31,3.0,4,0,0,85,0,3.0,85
0,2,1,1,32,3.0,7,0,0,87,0,3.0,87
0,2,1,1,29,4.0,4,0,0,78,0,4.0,78
7,2,0,1,40,3.0,12,0,0,50,0,3.0,50
8,2,1,2,29,4.0,6,0,0,75,0,4.0,150
0,2,1,2,31,5.0,7,1,0,87,0,6.0,174
1,2,1,1,32,5.0,6,1,0,58,0,6.0,58
4,2,1,1,42,5.0,11,0,0,67,0,5.0,67
5,2,0,1,30,5.0,3,1,0,65,0,6.0,65
5,2,0,1,24,3.0,2,1,0,70,0,4.0,70
7,2,1,1,35,3.0,7,0,0,56,0,3.0,56
8,2,0,2,32,1.0,3,0,0,80,0,1.0,160
2,2,0,1,22,3.0,2,0,0,47,0,3.0,47
7,2,1,2,44,5.0,14,0,0,48,0,5.0,96
4,2,1,2,39,3.0,9,0,0,58,0,3.0,116
8,2,0,1,46,4.0,17,0,0,85,0,4.0,85
8,2,1,1,29,2.0,5,0,0,77,0,2.0,77
1,2,1,1,26,1.0,3,0,0,59,0,1.0,59
4,2,1,1,35,4.0,5,0,0,61,0,4.0,61
5,2,0,1,29,4.0,2,1,0,95,1,5.0,95
8,2,1,1,30,2.0,9,0,0,79,0,2.0,79
7,2,1,1,45,4.0,5,0,0,50,0,4.0,50
7,2,0,1,30,1.0,6,0,0,47,0,1.0,47
1,2,1,1,28,2.0,4,0,0,59,0,2.0,59
8,3,1,1,46,5.0,10,1,0,76,0,6.0,76
5,2,1,1,27,2.0,2,0,0,69,0,2.0,69
7,2,1,1,34,2.0,5,0,0,47,0,2.0,47
0,2,1,2,32,5.0,3,1,0,86,0,6.0,172
4,2,0,1,35,5.0,10,0,0,63,0,5.0,63
5,2,1,1,36,4.0,3,1,0,66,0,5.0,66
5,3,0,1,58,1.0,13,0,0,70,0,1.0,70
1,2,1,1,29,4.0,4,0,0,57,0,4.0,57
5,2,0,1,33,3.0,3,1,0,67,0,4.0,67
4,2,0,1,32,5.0,6,0,0,62,0,5.0,62
3,1,1,1,25,5.0,2,1,0,59,0,6.0,59
5,2,1,4,41,2.0,9,0,0,68,0,2.0,272
5,2,0,1,25,3.0,1,1,0,69,0,4.0,69
0,3,1,1,50,1.0,7,0,1,79,0,2.0,79
7,2,1,1,30,1.0,7,0,0,53,0,1.0,53
8,2,1,1,28,3.0,1,0,0,81,0,3.0,81
0,3,1,1,40,5.0,5,0,1,83,1,6.0,83
1,1,0,1,26,3.0,2,0,0,61,0,3.0,61
8,2,1,1,35,5.0,8,1,0,81,0,6.0,81
7,3,1,1,37,3.0,7,1,0,52,0,4.0,52
4,3,1,1,34,3.0,3,0,0,75,1,3.0,75
4,2,1,1,25,3.0,2,0,0,57,0,3.0,57
7,2,1,1,22,5.0,2,0,0,62,1,5.0,62
5,2,0,2,26,5.0,2,1,0,68,1,6.0,136
8,2,0,1,31,4.0,7,1,0,80,0,5.0,80
1,2,1,4,31,5.0,3,1,0,60,0,6.0,240
0,2,1,1,32,3.0,6,1,0,86,0,4.0,86
7,2,1,1,36,5.0,8,0,0,48,0,5.0,48
8,2,0,1,57,3.0,19,0,0,81,0,3.0,81
7,2,0,1,42,4.0,9,0,0,51,0,4.0,51
7,2,1,1,28,3.0,3,0,0,48,0,3.0,48
0,2,1,2,33,4.0,3,1,0,86,0,5.0,172
0,2,1,1,41,3.0,3,0,0,86,0,3.0,86
4,1,1,2,26,3.0,1,0,0,61,0,3.0,122
5,2,0,1,32,5.0,5,0,1,84,1,6.0,84
4,2,1,1,48,3.0,8,0,0,57,0,3.0,57
4,3,1,1,41,3.0,7,0,0,58,0,3.0,58
8,3,1,1,31,5.0,4,1,0,82,0,6.0,82
7,2,1,1,37,4.0,5,0,0,54,0,4.0,54
0,2,1,1,30,1.0,4,0,0,84,0,1.0,84
1,1,1,1,26,5.0,2,1,0,60,0,6.0,60
7,2,1,1,44,5.0,11,0,0,42,0,5.0,42
4,2,0,1,44,3.0,10,0,0,60,0,3.0,60
6,3,1,1,30,4.0,2,1,0,96,1,5.0,96
4,1,1,1,24,3.0,2,0,0,59,0,3.0,59
7,2,1,1,40,1.0,10,0,0,49,0,1.0,49
8,3,1,1,32,3.0,5,0,0,80,0,3.0,80
7,2,1,1,40,5.0,7,0,0,53,0,5.0,53
8,1,0,2,24,4.0,3,1,0,78,0,5.0,156
7,2,1,1,45,4.0,15,0,0,64,1,4.0,64
7,2,0,1,34,5.0,5,0,0,60,1,5.0,60
4,2,0,1,58,4.0,18,1,0,60,0,5.0,60
8,2,1,1,35,3.0,7,0,0,82,0,3.0,82
7,2,1,1,24,4.0,2,0,0,51,0,4.0,51
7,2,1,1,35,2.0,8,0,0,48,0,2.0,48
8,2,1,1,31,1.0,2,0,0,81,0,1.0,81
4,2,1,1,33,3.0,5,0,0,60,0,3.0,60
2,3,0,1,44,3.0,14,0,0,47,0,3.0,47
7,2,1,1,24,2.0,2,1,0,52,1,3.0,52
5,2,1,2,34,2.0,10,0,0,69,0,2.0,138
7,2,1,1,37,5.0,2,0,0,54,0,5.0,54
4,2,1,2,31,3.0,4,0,0,63,0,3.0,126
5,2,1,1,32,3.0,8,0,0,69,0,3.0,69
4,2,0,1,33,5.0,7,1,0,57,0,6.0,57
4,2,0,1,53,3.0,11,0,0,57,0,3.0,57
4,2,1,2,37,5.0,4,1,0,57,0,6.0,114
7,2,1,1,30,2.0,5,0,0,49,0,2.0,49
0,2,1,1,35,5.0,3,1,0,81,0,6.0,81
8,2,1,1,32,3.0,4,0,0,80,0,3.0,80
4,2,1,1,45,3.0,9,0,0,61,0,3.0,61
5,2,1,1,29,3.0,1,0,0,69,0,3.0,69
7,2,1,2,31,3.0,4,0,0,53,0,3.0,106
8,2,1,2,34,3.0,8,0,0,80,0,3.0,160
0,2,0,1,24,3.0,1,1,0,86,0,4.0,86
4,3,0,1,31,5.0,7,1,0,59,0,6.0,59
7,3,0,1,37,3.0,6,1,0,47,0,4.0,47
7,3,1,1,42,3.0,12,0,0,48,0,3.0,48
5,3,1,1,40,3.0,6,0,0,72,0,3.0,72
4,2,1,1,37,5.0,5,1,0,64,0,6.0,64
4,2,1,1,50,3.0,8,0,0,57,0,3.0,57
4,2,1,1,28,3.0,1,0,0,61,0,3.0,61
2,3,0,1,57,3.0,13,0,0,53,0,3.0,53
7,3,1,2,42,2.0,10,0,0,46,0,2.0,92
4,3,1,1,34,3.0,8,0,0,61,0,3.0,61
4,2,0,1,34,5.0,8,1,0,54,0,6.0,54
4,2,1,1,29,3.0,1,0,0,62,0,3.0,62
4,3,0,1,32,4.0,7,1,0,59,0,5.0,59
4,2,0,1,27,5.0,2,0,0,61,0,5.0,61
0,2,1,3,30,3.0,1,1,0,83,0,4.0,249
8,3,1,1,46,3.0,17,0,0,83,0,3.0,83
7,3,1,1,37,3.0,10,1,0,49,1,4.0,49
7,2,0,1,48,4.0,13,0,0,52,0,4.0,52
8,2,1,1,40,5.0,12,1,0,84,0,6.0,84
8,2,1,1,32,3.0,6,0,0,73,0,3.0,73
7,2,1,1,33,1.0,7,0,0,48,0,1.0,48
5,2,0,1,35,3.0,6,0,0,66,0,3.0,66
7,2,1,1,23,3.0,2,0,0,51,0,3.0,51
0,3,1,1,32,3.0,4,0,0,86,0,3.0,86
4,2,1,4,31,3.0,6,0,0,59,0,3.0,236
4,2,0,1,40,4.0,13,0,0,60,0,4.0,60
5,3,1,1,43,2.0,7,0,0,70,0,2.0,70
4,3,1,1,38,3.0,6,0,0,60,0,3.0,60
7,2,1,1,36,5.0,8,0,0,49,0,5.0,49
5,3,1,1,49,5.0,20,1,0,65,0,6.0,65
7,2,0,1,32,1.0,4,0,0,50,0,1.0,50
0,2,1,2,26,3.0,2,0,0,91,0,3.0,182
0,2,1,1,55,3.0,18,0,0,87,0,3.0,87
2,3,0,1,35,3.0,5,0,0,50,0,3.0,50
4,3,0,1,36,4.0,6,1,0,59,0,5.0,59
7,2,1,1,29,5.0,4,1,0,45,0,6.0,45
5,2,1,1,46,3.0,19,1,0,72,0,4.0,72
6,2,1,2,30,3.0,4,0,0,84,0,3.0,168
7,2,1,1,51,5.0,19,0,0,40,0,5.0,40
7,3,1,1,37,3.0,7,0,0,54,0,3.0,54
0,2,1,1,27,3.0,2,0,0,88,0,3.0,88
7,2,1,1,43,1.0,4,0,0,49,0,1.0,49
2,2,0,1,31,3.0,7,0,0,51,0,3.0,51
4,3,0,2,38,4.0,9,1,0,65,0,5.0,130
7,3,0,1,43,1.0,10,0,0,45,0,1.0,45
8,2,1,3,29,3.0,4,0,0,81,0,3.0,243
8,3,0,1,30,3.0,2,0,0,79,0,3.0,79
2,2,0,1,49,5.0,22,1,0,50,0,6.0,50
0,3,1,1,49,4.0,5,0,0,90,0,4.0,90
7,3,1,1,36,2.0,5,0,0,48,0,2.0,48
5,3,1,1,33,1.0,3,0,0,71,0,1.0,71
7,3,1,3,52,3.0,25,0,0,49,0,3.0,147
7,2,0,1,29,3.0,1,0,0,53,0,3.0,53
4,2,1,1,37,3.0,11,0,0,56,0,3.0,56
1,1,1,1,25,3.0,3,0,0,61,0,3.0,61
2,1,1,1,24,3.0,1,1,0,52,0,4.0,52
8,3,0,1,37,4.0,13,0,0,79,0,4.0,79
4,2,1,1,35,5.0,10,1,0,59,1,6.0,59
8,2,0,1,33,3.0,4,1,0,76,1,4.0,76
5,2,0,1,33,5.0,9,1,0,71,0,6.0,71
8,2,0,1,59,3.0,28,0,0,78,0,3.0,78
0,2,1,1,29,3.0,1,0,0,88,0,3.0,88
4,2,0,1,38,2.0,8,0,0,59,0,2.0,59
4,2,1,1,48,4.0,13,0,0,57,0,4.0,57
3,2,1,1,31,3.0,1,1,0,62,0,4.0,62
8,3,0,1,32,1.0,5,0,0,77,0,1.0,77
5,2,1,3,24,3.0,2,0,0,63,0,3.0,189
8,3,1,2,37,5.0,5,1,0,77,0,6.0,154
7,2,0,1,32,5.0,8,1,0,46,1,6.0,46
7,2,1,1,31,3.0,2,0,0,48,0,3.0,48
4,2,1,2,45,3.0,5,1,1,61,0,5.0,122
7,2,1,1,57,5.0,6,0,0,45,0,5.0,45
4,3,1,2,39,2.0,8,0,0,59,0,2.0,118
5,3,1,1,42,1.0,4,0,0,70,0,1.0,70
4,2,0,1,45,3.0,4,0,1,65,1,4.0,65
4,3,1,1,41,3.0,3,1,0,61,0,4.0,61
8,3,0,1,41,1.0,11,0,0,74,0,1.0,74
7,3,1,1,34,1.0,7,0,0,50,0,1.0,50
7,2,1,1,47,5.0,18,0,0,52,0,5.0,52
7,3,1,1,33,5.0,7,1,0,51,0,6.0,51
4,3,0,1,48,3.0,15,0,0,69,1,3.0,69
4,2,1,1,34,4.0,3,0,0,60,0,4.0,60
7,3,1,1,35,5.0,4,1,0,47,0,6.0,47
0,3,1,1,35,5.0,4,1,0,84,0,6.0,84
8,2,0,2,26,3.0,2,0,0,79,0,3.0,158
7,3,1,1,45,3.0,17,0,0,49,0,3.0,49
7,3,0,1,31,3.0,1,0,0,54,0,3.0,54
