ctrust,cuntrust,last,context,score
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
4,1,2,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
4,1,2,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
4,1,2,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
2,1,2,holiday,untrustworthy
4,1,1,holiday,trustworthy
4,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
2,1,2,holiday,untrustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
1,1,1,holiday,trustworthy
2,1,2,holiday,untrustworthy
